ticker,source_symbol,statement_date,ev_source,market_cap,ebit,enterprise_value,current_assets,current_liabilities,net_ppe,roic,debt_to_ebitda
4C,4C.ST,2025-12-31,reported_enterprise_value,277493760.0,-12045000.0,431128480.0,227265000.0,204985000.0,41110000.0,,4.26481
8TRA,8TRA.ST,2025-12-31,reported_enterprise_value,183800004608.0,2680000000.0,216273993728.0,23183000000.0,24655000000.0,15379000000.0,,4.692521
AAC,AAC.ST,2025-12-31,reported_enterprise_value,1228258432.0,-47824000.0,931691648.0,142929000.0,154914000.0,104467000.0,,2.326891
AAK,AAK.ST,2025-12-31,reported_enterprise_value,64223461376.0,4686000000.0,67082563584.0,21411000000.0,10763000000.0,8308000000.0,,0.886853
ABAS,ABAS.ST,2025-12-31,reported_enterprise_value,57225012.0,-2734000.0,84502008.0,41616000.0,24180000.0,36664000.0,,283.647059
ABB,ABB.ST,2025-12-31,reported_enterprise_value,1798911557632.0,6305000000.0,1797797052416.0,25578000000.0,16421000000.0,5457000000.0,,1.277044
ABERA,ABERA.ST,2025-12-31,reported_enterprise_value,142262704.0,-10453000.0,106230512.0,25374000.0,9280000.0,1304000.0,,
ABI,ABI.ST,2025-08-31,reported_enterprise_value,61666068.0,-8395980.0,58844484.0,5180458.0,927397.0,18698752.0,,-0.0
ABSL-B,ABSL-B.ST,2025-12-31,reported_enterprise_value,93259288.0,-13807000.0,55837528.0,18302000.0,5468000.0,11602000.0,,-0.0
ABSO,ABSO.ST,2025-12-31,reported_enterprise_value,2309477376.0,123117000.0,2465439488.0,663541000.0,230149000.0,213687000.0,,2.259879
ACAD,ACAD.ST,2025-06-30,reported_enterprise_value,9337368576.0,1760000000.0,23091699712.0,1831000000.0,4876000000.0,12240000000.0,,2.942621
ACARIX,ACARIX.ST,2025-12-31,reported_enterprise_value,298062048.0,-48091000.0,275831552.0,41483000.0,10159000.0,372000.0,,-0.0
ACAST,ACAST.ST,2025-12-31,reported_enterprise_value,7207377920.0,-90669000.0,6744202240.0,1422695000.0,814871000.0,133638000.0,,-497.727941
ACCON,ACCON.ST,2025-12-31,reported_enterprise_value,1618007680.0,-20139000.0,1577480064.0,116847000.0,18061000.0,16475000.0,,-0.0
ACE,ACE.ST,2025-12-31,reported_enterprise_value,401941728.0,-75022000.0,358826560.0,53935000.0,12397000.0,935000.0,,-0.01293
ACOU,ACOU.ST,2025-12-31,reported_enterprise_value,97565592.0,-10810000.0,82341632.0,13036000.0,1592000.0,0.0,,
ACRI-A,ACRI-A.ST,2025-12-31,reported_enterprise_value,360488320.0,39184000.0,687736448.0,300578000.0,82147000.0,1853000.0,,9.742388
ACRI-B,ACRI-B.ST,2025-12-31,reported_enterprise_value,347427168.0,39184000.0,670321536.0,300578000.0,82147000.0,1853000.0,,9.742388
ACROUD,ACROUD.ST,2025-12-31,reported_enterprise_value,208513040.0,-3042000.0,199888000.0,9127000.0,6923000.0,124000.0,,10.628647
ACTI,ACTI.ST,2025-12-31,reported_enterprise_value,160272880.0,-37210000.0,102181016.0,67576000.0,14471000.0,2017000.0,,-0.048715
ACUVI,ACUVI.ST,2025-12-31,reported_enterprise_value,426945952.0,-5499000.0,461234432.0,121351000.0,50429000.0,33551000.0,,2.91775
ADDT-B,ADDT-B.ST,2026-03-31,reported_enterprise_value,86819282944.0,3085000000.0,95138971648.0,9180000000.0,6143000000.0,1685000000.0,,2.317018
ADMCM,ADMCM.HE,2025-12-31,reported_enterprise_value,147250224.0,7593510.0,143370160.0,11450953.0,5843447.0,169363.0,,0.015084
ADTR,ADTR.ST,2025-12-31,reported_enterprise_value,629410752.0,-15954500.0,488524992.0,367963825.0,308740146.0,2342725.0,,0.0
ADVE,ADVE.ST,2025-12-31,reported_enterprise_value,881917184.0,18132000.0,770126656.0,160902000.0,74058000.0,18433000.0,,0.434121
AEC,AEC.ST,2025-12-31,reported_enterprise_value,673223232.0,-4569000.0,734750144.0,3270000.0,316000.0,0.0,,-2.267236
AERO,AERO.ST,2025-12-31,reported_enterprise_value,62618852.0,-31469000.0,33604788.0,14653000.0,7405000.0,28407000.0,,-0.029013
AERW-B,AERW-B.ST,2025-12-31,reported_enterprise_value,59779736.0,-13339000.0,62257420.0,43281000.0,18588000.0,177000.0,,-0.609461
AFAGR,AFAGR.HE,2025-12-31,reported_enterprise_value,68486880.0,-6703000.0,63506276.0,46631000.0,27369000.0,49619000.0,,-0.790146
AFRY,AFRY.ST,2025-12-31,reported_enterprise_value,12955999232.0,1354000000.0,18291998720.0,9639000000.0,9302000000.0,1618000000.0,,3.015982
AGES-B,AGES-B.ST,2025-12-31,reported_enterprise_value,339976768.0,36234000.0,525706144.0,256553000.0,223260000.0,282044000.0,,2.078519
AGROUP,AGROUP.ST,2025-12-31,reported_enterprise_value,2580827904.0,260956000.0,4155628032.0,399498000.0,473645000.0,75932000.0,,5.623028
AGTIRA-B,AGTIRA-B.ST,2025-12-31,reported_enterprise_value,354183520.0,-42632000.0,389731584.0,29705000.0,38923000.0,128325000.0,,-1.630294
AIFORIA,AIFORIA.HE,2025-12-31,reported_enterprise_value,63113376.0,-12120000.0,62473648.0,12499000.0,4045000.0,631000.0,,-1.028359
AIXIA-B,AIXIA-B.ST,2025-12-31,reported_enterprise_value,145622400.0,-1655000.0,139886000.0,53602000.0,61939000.0,20514000.0,,3.893903
AJA-B,AJA-B.ST,2025-12-31,reported_enterprise_value,1537851008.0,-44858000.0,1429117056.0,109463000.0,5055000.0,4056000.0,,-0.066104
ALBERT,ALBERT.ST,2025-12-31,reported_enterprise_value,109059496.0,-64629000.0,53313052.0,62715000.0,76125000.0,124000.0,,0.872847
ALCA,ALCA.ST,2025-12-31,reported_enterprise_value,789255040.0,83500000.0,1088163840.0,575000000.0,359300000.0,73000000.0,,2.894737
ALEX,ALEX.HE,2025-12-31,reported_enterprise_value,124928880.0,11458000.0,112913296.0,33361000.0,10669000.0,4934000.0,,0.319414
ALFA,ALFA.ST,2025-12-31,reported_enterprise_value,215095017472.0,11769000000.0,229098684416.0,42965000000.0,36364000000.0,15856000000.0,,1.472183
ALIF-B,ALIF-B.ST,2025-12-31,reported_enterprise_value,17694662656.0,974000000.0,22199558144.0,4149000000.0,3991000000.0,1090000000.0,,2.67751
ALIG,ALIG.ST,2025-12-31,reported_enterprise_value,11683985408.0,963000000.0,14262963200.0,4245000000.0,1783000000.0,979000000.0,,2.671161
ALIV-SDB,ALIV-SDB.ST,2025-12-31,reported_enterprise_value,88338735104.0,1089000000.0,90633052160.0,4101000000.0,3923000000.0,2587000000.0,,1.549465
ALLEI,ALLEI.ST,2025-12-31,reported_enterprise_value,21213329408.0,1020000000.0,20826439680.0,12103000000.0,4271000000.0,8132000000.0,,0.224103
ALLIGO-B,ALLIGO-B.ST,2025-12-31,reported_enterprise_value,7443060224.0,496000000.0,9670303744.0,4460000000.0,2193000000.0,1946000000.0,,3.269369
ALM,ALM.ST,2025-12-31,reported_enterprise_value,1526409216.0,-104000000.0,1944023168.0,1536000000.0,786000000.0,11000000.0,,-14.32967
ALM-PREF,ALM-PREF.ST,2025-12-31,reported_enterprise_value,2838416896.0,-104000000.0,2657477120.0,1536000000.0,786000000.0,11000000.0,,-14.32967
ALMA,ALMA.HE,2025-12-31,reported_enterprise_value,1169604352.0,76800000.0,1240803200.0,71100000.0,99100000.0,33600000.0,,1.663169
ALPCOT-B,ALPCOT-B.ST,2025-12-31,market_cap_plus_net_debt,239676800.0,-10146000.0,227291800.0,54582000.0,21942000.0,6169000.0,,0.944975
ALTRA,ALTRA.ST,2025-12-31,reported_enterprise_value,13641407488.0,1798000000.0,36642693120.0,342000000.0,4795000000.0,540000000.0,,11.998333
ALVO-SDB,ALVO-SDB.ST,2025-12-31,reported_enterprise_value,9735907328.0,273218000.0,11284526080.0,574015000.0,304078000.0,494692000.0,,4.658597
ALZCUR,ALZCUR.ST,2025-12-31,reported_enterprise_value,156283664.0,-47398000.0,125608656.0,54963000.0,23562000.0,4064000.0,,-0.055495
AMBEA,AMBEA.ST,2025-12-31,reported_enterprise_value,11726828544.0,1341000000.0,25221224448.0,1857000000.0,4572000000.0,9439000000.0,,4.442375
AMH2-B,AMH2-B.ST,2025-12-31,reported_enterprise_value,407428224.0,85572000.0,1285102464.0,24752000.0,67346000.0,275000.0,,10.730017
AMIDO,AMIDO.ST,2025-12-31,reported_enterprise_value,74130408.0,-12501817.0,74697344.0,18012947.0,11625323.0,570216.0,,0.0
ANGL,ANGL.ST,2025-12-31,reported_enterprise_value,347180512.0,4912806.0,343084128.0,15421537.0,4066532.0,51940.0,,0.0
ANNE-B,ANNE-B.ST,2025-12-31,reported_enterprise_value,1375530112.0,94700000.0,3764323584.0,247600000.0,579500000.0,5800000.0,,25.887605
ANNX,ANNX.ST,2025-12-31,reported_enterprise_value,94591880.0,-36893000.0,78582752.0,28566000.0,5224000.0,1116000.0,,-0.0
ANOD-B,ANOD-B.ST,2025-12-31,reported_enterprise_value,6472770560.0,669000000.0,8547881984.0,3355000000.0,3575000000.0,279000000.0,,3.341306
ANORA,ANORA.HE,2025-12-31,reported_enterprise_value,223264736.0,25800000.0,377342400.0,420800000.0,347300000.0,118600000.0,,4.481073
ANOT,ANOT.ST,2025-12-31,reported_enterprise_value,156535520.0,-111316000.0,197249120.0,19518000.0,70753000.0,3633000.0,,-0.231207
APETIT,APETIT.HE,2025-12-31,reported_enterprise_value,79354784.0,10300000.0,94883360.0,63800000.0,24700000.0,57300000.0,,1.078212
APOTEA,APOTEA.ST,2025-12-31,reported_enterprise_value,7617994752.0,301800000.0,7855015936.0,1118500000.0,871500000.0,812500000.0,,0.713208
APRTEC,APRTEC.ST,2024-12-31,market_cap_plus_net_debt,937595008.0,-10350000.0,940861008.0,7538000.0,15741000.0,1691000.0,,-3.13195
AQ,AQ.ST,2025-12-31,market_cap_plus_net_debt,21593899008.0,863000000.0,21167899008.0,4648000000.0,1765000000.0,1642000000.0,,0.471667
ARCOMA,ARCOMA.ST,2025-12-31,reported_enterprise_value,126487232.0,6424000.0,92545232.0,76563000.0,21924000.0,1131000.0,,0.0
ARCT,ARCT.ST,2025-12-31,reported_enterprise_value,248779056.0,-19328000.0,223909376.0,19709000.0,3860000.0,63880000.0,,
ARJO-B,ARJO-B.ST,2025-12-31,reported_enterprise_value,6662159360.0,677000000.0,11191186432.0,4323000000.0,3759000000.0,2700000000.0,,3.026003
ARP,ARP.ST,2025-12-31,market_cap_plus_net_debt,1040841088.0,-195982000.0,1162717088.0,1033319000.0,776136000.0,1527706000.0,,-162.861721
ARPL,ARPL.ST,2025-12-31,reported_enterprise_value,843396032.0,111200000.0,817430976.0,560000000.0,181900000.0,381900000.0,,0.864634
ARVOSK,ARVOSK.HE,2025-12-31,market_cap_plus_net_debt,61818276.0,7003000.0,70919276.0,79560000.0,1740000.0,49000.0,,1.640647
ASKER,ASKER.ST,2025-12-31,reported_enterprise_value,30642921472.0,870000000.0,36903030784.0,5472000000.0,4037000000.0,1779000000.0,,3.448399
ASMDEE-B,ASMDEE-B.ST,2026-03-31,reported_enterprise_value,33922189312.0,111044000.0,35455545344.0,955706000.0,507912000.0,69891000.0,,3.264433
ASPO,ASPO.HE,2025-12-31,reported_enterprise_value,189285872.0,35591000.0,373239424.0,233167000.0,138179000.0,199708000.0,,3.996536
ASSA-B,ASSA-B.ST,2025-12-31,reported_enterprise_value,370666078208.0,23139000000.0,433672159232.0,49395000000.0,47920000000.0,18095000000.0,,2.236508
ASUNTO,ASUNTO.HE,2025-09-30,reported_enterprise_value,74607992.0,5663000.0,220127472.0,7174000.0,3739000.0,1914000.0,,24.289161
ATCO-A,ATCO-A.ST,2025-12-31,reported_enterprise_value,862296211456.0,34553000000.0,880543268864.0,87018000000.0,56006000000.0,33505000000.0,,0.790118
ATCO-B,ATCO-B.ST,2025-12-31,reported_enterprise_value,765943414784.0,34553000000.0,780775456768.0,87018000000.0,56006000000.0,33505000000.0,,0.790118
ATIC,ATIC.ST,2025-12-31,reported_enterprise_value,756627328.0,120935000.0,1502402944.0,160720000.0,396680000.0,628349000.0,,3.064717
ATORX,ATORX.ST,2025-12-31,reported_enterprise_value,123485816.0,-7083000.0,128164904.0,68662000.0,78145000.0,1873000.0,,-8.418065
ATRAV,ATRAV.HE,2025-12-31,reported_enterprise_value,418430080.0,66907000.0,709224128.0,269929000.0,259319000.0,547987000.0,,3.65687
ATRLJ-B,ATRLJ-B.ST,2025-12-31,reported_enterprise_value,18695192576.0,1917000000.0,47702142976.0,2480000000.0,6912000000.0,33000000.0,,14.40829
ATT,ATT.ST,2025-12-31,reported_enterprise_value,16159762432.0,1834000000.0,32140574720.0,3451000000.0,4528000000.0,12520000000.0,,4.231977
AUROORA,AUROORA.HE,2025-12-31,reported_enterprise_value,,9444000.0,218422032.0,57899000.0,65364000.0,19218000.0,,2.536024
AVEN,AVEN.ST,2025-12-31,reported_enterprise_value,303668192.0,32040000.0,285867040.0,129516000.0,102921000.0,59230000.0,,1.213235
AVT-B,AVT-B.ST,2025-12-31,reported_enterprise_value,325887072.0,17041888.0,279185536.0,49177558.0,5116671.0,0.0,,0.00468
AXFO,AXFO.ST,2025-12-31,reported_enterprise_value,57089703936.0,3563000000.0,72989147136.0,9892000000.0,13923000000.0,19341000000.0,,2.015969
AXIC-A,AXIC-A.ST,2025-12-31,reported_enterprise_value,95836704.0,-17491000.0,92873640.0,15120000.0,8218000.0,3000.0,,-0.375387
AXOLOT,AXOLOT.ST,2025-12-31,reported_enterprise_value,88660272.0,-5931000.0,75776736.0,14980000.0,2731000.0,300000.0,,-0.189361
AZN,AZN.ST,2025-12-31,reported_enterprise_value,2641869668352.0,14016000000.0,2679067377664.0,28723000000.0,30617000000.0,14703000000.0,,1.494361
B3,B3.ST,2025-12-31,reported_enterprise_value,236902848.0,47900000.0,557158656.0,302500000.0,249600000.0,86000000.0,,3.981818
BACTI-B,BACTI-B.ST,2025-12-31,reported_enterprise_value,532667040.0,-5525000.0,669137216.0,124171000.0,74319000.0,93345000.0,,3.920966
BAHN-B,BAHN-B.ST,2025-12-31,reported_enterprise_value,5518090752.0,251465000.0,5087732224.0,850104000.0,644317000.0,470094000.0,,0.429936
BALCO,BALCO.ST,2025-12-31,reported_enterprise_value,337267136.0,-19984000.0,709216064.0,628861000.0,396942000.0,271579000.0,,20.687591
BALD-B,BALD-B.ST,2025-12-31,reported_enterprise_value,61619601408.0,14251000000.0,223212601344.0,21189000000.0,21760000000.0,2589000000.0,,10.14931
BAWAT,BAWAT.ST,2025-12-31,reported_enterprise_value,90031400.0,-16171000.0,155251328.0,4053000.0,38915000.0,10620000.0,,-5.22341
BBROOM,BBROOM.ST,2025-12-31,reported_enterprise_value,108819968.0,-22077000.0,104523504.0,133173000.0,91340000.0,39728000.0,,-1.368084
BEAMMW-B,BEAMMW-B.ST,2025-12-31,reported_enterprise_value,705597824.0,-24769016.0,667016000.0,83023965.0,6888049.0,0.0,,
BEGR,BEGR.ST,2025-12-31,reported_enterprise_value,549189568.0,-576000000.0,1183510016.0,1133000000.0,632000000.0,500000000.0,,-1.55079
BEIA-B,BEIA-B.ST,2025-12-31,reported_enterprise_value,18048528384.0,939000000.0,21327970304.0,3555000000.0,1768000000.0,1938000000.0,,2.695183
BEIJ-B,BEIJ-B.ST,2025-12-31,reported_enterprise_value,64782528512.0,3609000000.0,75845738496.0,20037000000.0,13383000000.0,4853000000.0,,2.760633
BERG-B,BERG-B.ST,2026-03-31,reported_enterprise_value,8031981568.0,413000000.0,9299184640.0,2625000000.0,1510000000.0,528000000.0,,3.116037
BERNER-B,BERNER-B.ST,2025-12-31,reported_enterprise_value,1495040896.0,100252000.0,1718290688.0,298945000.0,227397000.0,112583000.0,,1.179484
BESQAB,BESQAB.ST,2025-12-31,reported_enterprise_value,2672106496.0,-76300000.0,4451606528.0,6042400000.0,3534400000.0,33000000.0,,-39.808411
BETCO,BETCO.ST,2025-12-31,reported_enterprise_value,6915158528.0,43081000.0,7646459392.0,100841000.0,62671000.0,15216000.0,,3.246752
BETS-B,BETS-B.ST,2025-12-31,reported_enterprise_value,12280323072.0,249088000.0,11799301120.0,536400000.0,238800000.0,23415000.0,,0.60883
BEYOND,BEYOND.ST,2025-12-31,reported_enterprise_value,50874664.0,-6707000.0,45061728.0,20753000.0,27483000.0,576000.0,,0.189461
BHG,BHG.ST,2025-12-31,reported_enterprise_value,4556117504.0,398700000.0,6928040448.0,1873800000.0,2049100000.0,739600000.0,,2.322846
BHOLM,BHOLM.ST,2025-12-31,reported_enterprise_value,157953744.0,22274000.0,135692400.0,107833000.0,52563000.0,3927000.0,,0.049676
BIBB,BIBB.ST,2025-12-31,reported_enterprise_value,88218760.0,-14585000.0,16794126.0,9049000.0,2570000.0,383000.0,,
BICO,BICO.ST,2025-12-31,reported_enterprise_value,1329631104.0,-1509200000.0,1258993024.0,2005300000.0,1574800000.0,337200000.0,,-5.415825
BILI-A,BILI-A.ST,2025-12-31,reported_enterprise_value,13090269184.0,1336000000.0,21710166016.0,7679000000.0,6296000000.0,9222000000.0,,3.076683
BILL,BILL.ST,2025-12-31,reported_enterprise_value,15394835456.0,1180000000.0,21515612160.0,13450000000.0,10212000000.0,28756000000.0,,1.826334
BIM,BIM.ST,2025-12-31,reported_enterprise_value,729483968.0,-64004000.0,587229760.0,192074000.0,96508000.0,1986000.0,,-0.024514
BINERO,BINERO.ST,2025-12-31,reported_enterprise_value,257823696.0,-43380000.0,266511008.0,143378000.0,198782000.0,31973000.0,,16.451606
BINV,BINV.ST,2025-12-31,reported_enterprise_value,2135351552.0,-332059000.0,1727903360.0,637693000.0,112430000.0,33509000.0,,-0.027314
BIOA-B,BIOA-B.ST,2025-12-31,reported_enterprise_value,29650053120.0,1257611000.0,29270839296.0,2486956000.0,520777000.0,82986000.0,,0.034689
BIOEX,BIOEX.ST,2025-12-31,reported_enterprise_value,115672208.0,-17704000.0,102941872.0,5543000.0,3513000.0,5842000.0,,
BIOG-B,BIOG-B.ST,2025-12-31,reported_enterprise_value,12969008128.0,427276000.0,12309628928.0,1219074000.0,199142000.0,181151000.0,,0.023012
BIOVIC-B,BIOVIC-B.ST,2025-04-30,reported_enterprise_value,108590968.0,-85761000.0,21701032.0,30794000.0,18158000.0,4768000.0,,-0.060467
BIOWKS,BIOWKS.ST,2025-12-31,reported_enterprise_value,423045792.0,-17162000.0,396604800.0,69046000.0,21549000.0,1710000.0,,
BITTI,BITTI.HE,2025-12-31,reported_enterprise_value,1275025024.0,19848000.0,1398318080.0,106813000.0,42597000.0,19349000.0,,0.604527
BMAX,BMAX.ST,2025-12-31,reported_enterprise_value,2890214656.0,301000000.0,5115527168.0,1265000000.0,1607000000.0,1992000000.0,,2.103018
BOAT,BOAT.ST,2025-12-31,reported_enterprise_value,522232000.0,-153922000.0,701347072.0,1142026000.0,643363000.0,169756000.0,,-2.097979
BOHO,BOHO.ST,2025-12-31,reported_enterprise_value,556199168.0,-17162000.0,755890368.0,88213000.0,22553000.0,24250000.0,,-32.288371
BOKUS,BOKUS.ST,2025-12-31,reported_enterprise_value,1007836544.0,127200000.0,1370869248.0,410200000.0,715100000.0,333500000.0,,0.906052
BOL,BOL.ST,2025-12-31,reported_enterprise_value,163047227392.0,13275000000.0,176689545216.0,41459000000.0,24399000000.0,97670000000.0,,1.078894
