ticker,company,sector,exchange,country
ADMCM,Admicom Oyj,Unknown,HEL,FI
AFAGR,Afarak Group SE,Unknown,HEL,FI
AIFORIA,Aiforia Technologies Oyj,Unknown,HEL,FI
AKTIA,Aktia Pankki Oyj,Unknown,HEL,FI
ALBAV,ALANDSBANKEN ABP (BANK OF ALAND,Unknown,HEL,FI
ALBBV,Bank of Åland Plc B,Unknown,HEL,FI
ALEX,Alexandria Group Oyj,Unknown,HEL,FI
ALMA,Alma Media Corporation,Unknown,HEL,FI
ANORA,Anora Group Plc,Unknown,HEL,FI
APETIT,Apetit Plc,Unknown,HEL,FI
ARVOSK,Arvo Sijoitusosuuskunta,Unknown,HEL,FI
ASPO,Aspo Plc,Unknown,HEL,FI
ASUNTO,Asuntosalkku Oyj,Unknown,HEL,FI
ATRAV,Atria Plc A,Unknown,HEL,FI
BITTI,Bittium Corporation,Unknown,HEL,FI
BOREO,Boreo Oyj,Unknown,HEL,FI
CANATU,Canatu Oyj A,Unknown,HEL,FI
CAPMAN,CapMan Plc,Unknown,HEL,FI
CITYVA,Cityvarasto Oyj,Unknown,HEL,FI
CONSTI,Consti Plc,Unknown,HEL,FI
CTH1V,Componenta Corporation,Unknown,HEL,FI
CTY1S,Citycon Oyj,Unknown,HEL,FI
DETEC,Detection Technology Oyj,Unknown,HEL,FI
DIGIA,Digia Plc,Unknown,HEL,FI
ELISA,Elisa Corporation,Unknown,HEL,FI
ENENTO,Enento Group Oyj,Unknown,HEL,FI
EQV1V,eQ Oyj,Unknown,HEL,FI
ERIBR,"Ericsson, Telefonab. L M ser. B",Unknown,HEL,FI
ESENSE,Enersense International Oyj,Unknown,HEL,FI
ETTE,Etteplan Oyj,Unknown,HEL,FI
EVLI,Evli Oyj,Unknown,HEL,FI
EXEL,Exel Composites Plc,Unknown,HEL,FI
FARON,Faron Pharmaceuticals Oy,Unknown,HEL,FI
FIA1S,Finnair Oyj,Unknown,HEL,FI
FORTUM,Fortum Corporation,Unknown,HEL,FI
FRAMERY,Framery Group Oyj,Unknown,HEL,FI
FSECURE,F-Secure Oyj,Unknown,HEL,FI
FSKRS,Fiskars Corporation,Unknown,HEL,FI
GOFORE,Gofore Plc,Unknown,HEL,FI
GRK,GRK Infra Plc,Unknown,HEL,FI
HARVIA,Harvia Plc,Unknown,HEL,FI
HEALTH,Nightingale Health Oyj B,Unknown,HEL,FI
HIAB,Hiab Oyj,Unknown,HEL,FI
HKFOODS,HKFoods Oyj A,Unknown,HEL,FI
HUH1V,Huhtamäki Oyj,Unknown,HEL,FI
ICP1V,Incap Corporation,Unknown,HEL,FI
ILKKA,Ilkka Oyj 2,Unknown,HEL,FI
KALMAR,Kalmar Oyj B,Unknown,HEL,FI
KAMUX,Kamux Corporation,Unknown,HEL,FI
KCR,Konecranes Plc,Unknown,HEL,FI
KEMIRA,Kemira Oyj,Unknown,HEL,FI
KEMPOWR,Kempower Oyj,Unknown,HEL,FI
KESKOA,Kesko Corporation A,Unknown,HEL,FI
KESKOB,Kesko Corporation B,Unknown,HEL,FI
KNEBV,KONE Corporation,Unknown,HEL,FI
KOSKI,Koskisen Oyj,Unknown,HEL,FI
KREATE,Kreate Group Plc,Unknown,HEL,FI
KSL,Keskisuomalainen Oyj,Unknown,HEL,FI
LAPWALL,LapWall Oyj,Unknown,HEL,FI
LASTIK,Lassila & Tikanoja Plc,Unknown,HEL,FI
LEMON,Lemonsoft Oyj,Unknown,HEL,FI
LINDEX,Lindex Group Oyj,Unknown,HEL,FI
LOIHDE,Loihde Oyj,Unknown,HEL,FI
LUMO,Lumo Kodit Oyj,Unknown,HEL,FI
LUOTEA,Luotea Plc,Unknown,HEL,FI
MANTA,Mandatum Oyj,Unknown,HEL,FI
MEKKO,Marimekko Corporation,Unknown,HEL,FI
METSA,Metsä Board Oyj A,Unknown,HEL,FI
METSB,Metsä Board Oyj B,Unknown,HEL,FI
METSO,Metso Oyj,Unknown,HEL,FI
MUSTI,Musti Group Plc,Unknown,HEL,FI
NANOFH,Nanoform Finland Oyj,Unknown,HEL,FI
